src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.50,192.168.10.3,33898,389,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,6,2017-07-06 17:29:00,160704744.0,239.45777232313688,0.7093754494266827,0.4729169662844552,0.2364584831422276,76,38,20324,18158,469.0,66.0,267.42105263157896,201.42121766389891,989.0,382.0,477.8421052631579,221.33786109353863,989,66,337.56140350877195,230.68699972829896,53216.4918436442,1520,760,20,38,1422165.8761061947,16482821.0,3.0,4296305.566904608,160704744.0,16482821.000000002,3.0,2142729.92,5125079.867906214,160704349.0,16483210.0,3.0,4343360.783783784,6613511.5319461245,0,0,0,0,1,0,0,0,0,0,0,0.5,337.56140350877195,571,2081,14867179.0,1015562.0000000001,8619569.6,6249968.056994679,16482821.0,976940.0,8286789.142857143,5642337.010900623,0.0,0.0,0.0,0.0,0.0,0.0,267.42105263157896,477.8421052631579,0,76,38,20324,18158
192.168.10.50,192.168.10.3,33904,389,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,6,2017-07-06 17:29:00,160704703.0,269.99832108211547,0.933388987377675,0.597368951921712,0.336020035455963,96,54,22830,20560,469.0,66.0,237.8125,177.8824115637912,1205.0,192.0,380.74074074074076,177.5482391607445,1205,66,289.26666666666665,190.54163732779134,36306.11555555556,1920,1080,20,54,1078555.0536912752,16482853.0,1.0,3781483.15490425,160704703.0,16482852.999999998,1.0,1691628.452631579,4625010.837451347,160704368.0,16483212.000000002,3.0,3032157.886792453,5860129.735999159,0,0,0,0,1,0,0,0,0,0,0,0.5625,289.26666666666665,390,2078,15075127.0,1015512.0,8565508.4,6218910.836248759,16482853.0,976876.0,8248313.714285715,5620024.068021715,0.0,0.0,0.0,0.0,0.0,0.0,237.8125,380.74074074074076,0,96,54,22830,20560
192.168.10.14,192.168.10.3,59555,53,b8:ac:6f:36:07:ee,18:66:da:9b:e3:7d,17,2017-07-06 17:29:17,269.0,2200743.4944237918,14869.888475836433,7434.9442379182165,7434.9442379182165,2,2,186,406,93.0,93.0,93.0,0.0,203.0,203.0,203.0,0.0,203,93,148.0,55.0,3025.0,16,16,8,2,89.66666666666667,261.0,4.0,121.15096184329514,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,148.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,203.0,0,2,2,186,406
192.168.10.14,65.55.44.109,59135,443,b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2017-07-06 17:29:17,293069.0,25178.37096383445,51.182486035711726,27.29732588571292,23.885160149998804,8,7,2768,4611,1147.0,60.0,346.0,397.50062893032003,1514.0,60.0,658.7142857142857,603.4145020004821,1514,60,491.93333333333334,527.7563158209373,278526.72888888884,160,140,20,7,20933.5,51888.0,1.0,22880.836210212496,293069.0,127801.0,311.0,41867.0,41943.91092195113,211947.0,57109.0,48.0,35324.5,25107.90698000665,0,0,0,0,1,0,0,0,0,0,0,0.875,491.93333333333334,8192,513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,658.7142857142857,0,8,7,2768,4611
192.168.10.50,129.6.15.29,123,123,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,17,2017-07-06 17:29:55,30352.0,5930.416447021613,65.89351607801792,32.94675803900896,32.94675803900896,1,1,90,90,90.0,90.0,90.0,0.0,90.0,90.0,90.0,0.0,90,90,90.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0,1,1,90,90
192.168.10.14,65.55.44.109,59135,443,b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,6,2017-07-06 17:30:17,49589.0,3629.8372622960737,60.497287704934564,40.33152513662304,20.16576256831152,2,1,120,60,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60,60,60.0,0.0,0.0,40,20,20,2,24794.5,49541.0,48.0,24746.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,60.0,253,513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,1,120,60
192.168.10.19,224.0.0.251,5353,5353,00:23:ae:9b:ad:b3,01:00:5e:00:00:fb,17,2017-07-06 17:30:36,57500071.0,602.8862120883294,3.68695196915496,3.68695196915496,0.0,212,0,34666,0,261.0,87.0,163.5188679245283,63.23909871484235,0.0,0.0,0.0,0.0,261,87,163.5188679245283,63.23909871484235,3999.1836062655752,1696,0,8,212,272512.18483412324,21306684.0,1.0,1927376.0512218017,57500071.0,21306684.0,1.0,272512.18483412324,1927376.0512218017,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,163.5188679245283,0,0,0.0,0.0,0.0,0.0,19682349.0,1000173.0,6051880.833333333,6523043.0347526055,3220.25,26.5,0.0,0.0,7254.304163213677,0.0,163.5188679245283,0.0,0,212,0,34666,0
192.168.10.19,192.168.10.3,50535,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:37,23978.0,17099.007423471518,166.8195846192343,83.40979230961715,83.40979230961715,2,2,130,280,65.0,65.0,65.0,0.0,140.0,140.0,140.0,0.0,140,65,102.5,37.5,1406.25,16,16,8,2,7992.666666666667,23970.0,4.0,11297.680745277865,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,102.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,140.0,0,2,2,130,280
192.168.10.3,192.168.10.1,60721,53,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,17,2017-07-06 17:30:37,23527.0,9648.488970119437,85.0087133931228,42.5043566965614,42.5043566965614,1,1,76,151,76.0,76.0,76.0,0.0,151.0,151.0,151.0,0.0,151,76,113.5,37.5,1406.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,113.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,151.0,0,1,1,76,151
192.168.10.19,192.168.10.3,55086,53,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,17,2017-07-06 17:30:38,171.0,2397660.8187134503,23391.812865497075,11695.906432748538,11695.906432748538,2,2,130,280,65.0,65.0,65.0,0.0,140.0,140.0,140.0,0.0,140,65,102.5,37.5,1406.25,16,16,8,2,57.0,118.0,4.0,46.88283267892417,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,102.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,140.0,0,2,2,130,280
